741.3995,192.4854,250.7046,135.2640,141.00,7.72,263.35,1,2
250.7046,135.2640,117.5459,173.4154,8.00,2.18,285.99,2,3
117.5459,173.4154,282.3143,112.9071,42.00,2.76,110.16,3,4
282.3143,112.9071,582.9099,47.2925,98.00,4.83,102.31,4,5
582.9099,47.2925,794.4796,74.9290,30.00,3.35,82.56,5,6
794.4796,74.9290,769.4429,41.2846,605.00,0.66,216.66,6,7
769.4429,41.2846,645.9745,-22.2118,15.00,2.18,242.78,7,8
645.9745,-22.2118,633.4629,-18.8546,49.00,0.20,285.02,8,9
633.4629,-18.8546,637.6258,-59.4691,1.00,0.64,174.15,9,10
637.6258,-59.4691,605.8793,-91.2222,1.00,0.71,224.99,10,11
605.8793,-91.2222,270.1532,-77.9440,115.00,5.27,272.26,11,12
270.1532,-77.9440,648.3665,51.7021,22.00,6.26,71.08,12,13
648.3665,51.7021,652.4161,99.9571,1.00,0.76,4.80,13,14
652.4161,99.9571,681.3960,121.7870,1.00,0.57,53.01,14,15
681.3960,121.7870,725.1124,103.3033,214.00,0.75,112.92,15,16
725.1124,103.3033,789.4447,144.1627,1.00,1.20,57.58,16,17
789.4447,144.1627,826.2201,191.9636,1.00,0.95,37.57,17,18
826.2201,191.9636,1043.4983,156.2887,213.00,3.46,99.32,18,19
1043.4983,156.2887,661.0759,230.7503,22.00,6.10,281.02,19,20
661.0759,230.7503,682.3692,280.8569,1.00,0.86,23.02,20,21
682.3692,280.8569,682.5383,349.2009,1.00,1.07,0.14,21,22
