Filename,RMSE gazepath fixation count,RMSE dispersion fixation count,RMSE velocity fixation count,RMSE gazepath fixation cumulative duration,RMSE dispersion fixation cumulative duration,RMSE velocity fixation cumulative duration,RMSE gazepath fixation avg duration,RMSE dispersion fixation avg duration,RMSE velocity fixation avg duration,RMSE gazepath saccade count,RMSE dispersion saccade count,RMSE velocity saccade count,RMSE gazepath saccade cumulative duration,RMSE dispersion saccade cumulative duration,RMSE velocity saccade cumulative duration,RMSE gazepath saccade avg duration,RMSE gazepath saccade adj avg duration,RMSE dispersion saccade avg duration,RMSE dispersion saccade adj avg duration,RMSE velocity saccade avg duration
./UAV123_car1_RAW_DATA_EyeTracker_CoordSystem,28.7993055471829,23.6523430833677,74.792824967818,4543.70298325056,748.580456597686,1747.75662874822,80.5466953278322,76.9289388216819,539.046294464856,70.8143111713068,357.034778884821,53.8603131566586,7170.24626100201,3881.00505050947,369.131094256047,28.4284797636526,0.631099828253764,4.64198187136072,2.64561740719499,2.48099491236125
./UAV123_car11_RAW_DATA_EyeTracker_CoordSystem,2.70801280154532,2.3094010767585,8.56348838577675,672.627212255545,164.431039243406,255.893988466578,153.315282007799,153.961453226317,904.452078927582,13.2199344426009,58.0384929737727,10.5830052442584,1004.849955121,809.243028374872,60.0085630556173,27.9201444069022,1.0212802063496,6.93083416692468,2.81747444390121,2.67395687369588
./UAV123_car12_RAW_DATA_EyeTracker_CoordSystem,5.91326193117358,6.66583328124349,15.7342513856448,1372.49807528705,881.468698631248,905.080033293557,58.4240439696514,66.2963052182571,304.192560018274,11.7912396860268,81.7390155719205,10.8643146738915,1494.82712472156,1581.11864918586,64.7911012665577,32.1281333189897,1.28700661332253,14.2108755978872,3.19164182453111,2.31515288045793
./UAV123_car13_RAW_DATA_EyeTracker_CoordSystem,3.08760964717584,4.41210456207315,13.0307329034095,871.262666096358,225.049031694577,389.475245255288,44.3793563788809,112.352261866972,534.951321313512,11.6074688598907,70.9006346939151,12.4579292019179,1375.77613587628,627.082837733581,72.4117028755251,29.5732362128918,0.759949212908791,3.7650383862568,2.93273271087733,2.19106209873371
./UAV123_car14_RAW_DATA_EyeTracker_CoordSystem,10.9498858441538,11.6975780969111,32.9914130241997,2162.47768389256,527.121491372403,1113.95685134868,79.8212965079749,101.32673754485,572.886408863639,32.1449840566145,210.613548155542,25.1859749331515,3795.45541925033,1673.97900271081,178.533313931415,31.1905978479863,0.913914167675817,3.31886949995162,3.29797264877917,2.28288179176374
./UAV123_car15_RAW_DATA_EyeTracker_CoordSystem,4.51663591625449,3.39607616718667,11.4178223259371,953.878713464139,192.3110327915,343.178524969148,139.791329409641,43.1014369950104,352.922868160128,12.0346721323571,70.2063624847017,10.5561988108094,1467.21749772372,739.680533041123,75.2568820330296,31.8238178977431,0.915717047917834,3.71155638875135,3.21717073686213,2.11915603336355
./UAV123_car2_RAW_DATA_EyeTracker_CoordSystem,17.0254711143823,12.8750404530109,35.9504288337891,2198.2979931453,500.708364885855,942.132775497523,183.26940276945,171.625083561911,1298.76655900516,45.7795441946146,212.245376863667,26.6733325002083,3671.41397549999,2149.76358176816,212.594763568312,27.3448986476691,0.827822418862618,4.06259723059449,2.76278688824375,2.26670603608471
./UAV123_car3_RAW_DATA_EyeTracker_CoordSystem,22.732502428608,17.6512511360149,53.5499766573245,2859.99412004058,551.721759585391,1303.279466065,95.4625184864128,76.1227327464067,451.541643871122,50.5407426406327,245.725795688338,35.0998575495685,4662.22590658976,2127.05944723618,243.190698992923,27.230584404597,0.67578948140438,3.58934758842685,2.77617356029437,2.49507111278763
./UAV123_car4_RAW_DATA_EyeTracker_CoordSystem,16.118312566767,14.9376481861548,39.697606980774,2278.47285112931,488.67020235192,646.069242935048,129.759463096636,180.193760538136,959.808952753245,41.5066259770654,157.434748388023,27.9243024383183,3202.75626108045,1627.0786868567,176.557099045417,26.3419241196129,0.7601734423201,4.59589634792122,1.91603980354408,2.95204366196341
./UAV123_car7_RAW_DATA_EyeTracker_CoordSystem,8.33466656001706,10.4387100097027,28.644371174805,1772.89477973172,299.07317945056,583.556880975054,73.8630804421637,99.3533036782565,538.414777634129,26.0908668566863,128.885478882094,19.400171820545,2676.75725715339,1424.51708064757,133.844311509056,28.0853051395088,0.695991684551919,4.84626710268307,2.71342785627965,2.38202746487359
./UAV123_car9_RAW_DATA_EyeTracker_CoordSystem,29.4754134831049,22.2208610694245,61.0933711625083,3224.50808134616,824.202483212307,1406.38310333043,111.780501727693,85.9788211091122,952.128783146476,52.9080964188532,237.080084922093,51.1295739600217,4877.99240918912,2634.54474171662,298.370806391421,26.3941247602951,0.796640005114076,4.72114612724038,2.34836514993573,2.63029304844794
