798.6780,269.1390,541.9157,286.1821,27.00,4.04,273.80,1,2
541.9157,286.1821,1121.6377,341.5266,99.00,9.08,84.55,2,3
1121.6377,341.5266,508.5886,231.1562,34.00,9.70,259.79,3,4
508.5886,231.1562,597.2222,226.6226,1.00,1.40,92.93,4,5
597.2222,226.6226,959.8309,267.9791,32.00,5.72,83.49,5,6
959.8309,267.9791,167.6248,257.3525,44.00,12.27,269.23,6,7
167.6248,257.3525,124.0255,201.2942,1.00,1.12,217.87,7,8
124.0255,201.2942,321.8874,148.6440,12.00,3.22,104.90,8,9
321.8874,148.6440,540.6224,121.8625,14.00,3.46,96.98,9,10
540.6224,121.8625,94.8272,217.0885,29.00,7.13,282.06,10,11
94.8272,217.0885,79.0710,208.1822,135.00,0.28,240.52,11,12
79.0710,208.1822,1137.6137,346.9836,142.00,16.33,82.53,12,13
1137.6137,346.9836,561.4842,165.1101,40.00,9.42,252.48,13,14
561.4842,165.1101,1124.8006,347.2091,35.00,9.23,72.09,14,15
1124.8006,347.2091,675.9423,177.3651,30.00,7.50,249.27,15,16
675.9423,177.3651,684.1966,135.9818,1.00,0.66,168.72,16,17
684.1966,135.9818,612.2357,150.6680,1.00,1.15,281.53,17,18
612.2357,150.6680,392.1006,220.9247,114.00,3.63,287.70,18,19
392.1006,220.9247,579.1932,151.5943,11.00,3.13,110.33,19,20
579.1932,151.5943,580.2929,293.1388,-7160.00,2.23,0.45,20,21
580.2929,293.1388,1163.0543,339.0547,78.00,9.12,85.49,21,22
1163.0543,339.0547,524.3981,227.4244,37.00,10.09,260.09,22,23
524.3981,227.4244,634.1565,236.6081,29.00,1.73,85.22,23,24
634.1565,236.6081,1015.5247,274.8514,34.00,6.01,84.27,24,25
1015.5247,274.8514,206.9664,235.5160,43.00,12.53,267.21,25,26
206.9664,235.5160,158.7735,181.8792,1.00,1.13,221.94,26,27
158.7735,181.8792,349.0322,141.2256,22.00,3.06,102.06,27,28
349.0322,141.2256,611.1485,135.6515,21.00,4.12,91.22,28,29
611.1485,135.6515,110.3397,203.7372,30.00,7.90,277.74,29,30
110.3397,203.7372,106.7549,201.0204,121.00,0.07,232.84,30,31
106.7549,201.0204,1186.8474,339.3900,143.00,16.64,82.70,31,32
1186.8474,339.3900,606.0185,156.9431,37.00,9.49,252.56,32,33
606.0185,156.9431,1173.3886,337.4354,33.00,9.28,72.35,33,34
1173.3886,337.4354,725.0374,147.7079,32.00,7.61,247.06,34,35
725.0374,147.7079,638.6397,140.9367,1.00,1.36,265.52,35,36
638.6397,140.9367,423.4529,244.3476,107.00,3.75,295.67,36,37
423.4529,244.3476,613.4016,156.9378,15.00,3.28,114.71,37,38
