610.0714,342.4222,370.1026,316.6338,8.00,3.79,263.87,1,2
370.1026,316.6338,450.9582,327.0500,1.00,1.28,82.66,2,3
450.9582,327.0500,544.9310,323.0299,9.00,1.48,92.45,3,4
544.9310,323.0299,613.4583,309.4817,1.00,1.10,101.18,4,5
613.4583,309.4817,226.8356,406.4111,15.00,6.24,284.07,5,6
226.8356,406.4111,305.4500,396.9046,1.00,1.25,96.90,6,7
305.4500,396.9046,261.8582,430.9040,1.00,0.87,307.95,7,8
261.8582,430.9040,705.9086,288.7636,29.00,7.29,107.75,8,9
705.9086,288.7636,754.7460,263.5127,1.00,0.86,117.34,9,10
754.7460,263.5127,998.1020,327.5967,33.00,3.95,75.25,10,11
998.1020,327.5967,1103.8106,374.2898,4.00,1.82,66.17,11,12
1103.8106,374.2898,1155.7993,386.0422,1.00,0.84,77.26,12,13
1155.7993,386.0422,332.4193,453.4461,38.00,12.78,274.68,13,14
332.4193,453.4461,419.5650,469.4593,1.00,1.39,79.59,14,15
419.5650,469.4593,1084.1380,381.6869,35.00,10.43,97.52,15,16
1084.1380,381.6869,1222.4812,385.9091,6.00,2.18,88.25,16,17
1222.4812,385.9091,887.1072,326.2195,15.00,5.34,259.91,17,18
887.1072,326.2195,411.9892,440.8627,31.00,7.64,283.57,18,19
411.9892,440.8627,447.9472,475.4847,1.00,0.79,46.08,19,20
447.9472,475.4847,136.3928,363.7153,27.00,5.19,250.26,20,21
