483.3118,127.7771,463.5904,214.5638,1.00,1.40,347.20,1,2
463.5904,214.5638,441.2829,129.2472,1.00,1.39,194.65,2,3
441.2829,129.2472,534.6847,300.0665,8.00,3.06,28.67,3,4
534.6847,300.0665,462.7423,196.6222,3.00,1.98,214.82,4,5
462.7423,196.6222,314.4139,177.2794,157.00,2.35,262.57,5,6
314.4139,177.2794,421.7867,138.3118,4.00,1.80,109.95,6,7
421.7867,138.3118,359.1263,93.5407,1.00,1.21,234.45,7,8
359.1263,93.5407,318.9539,84.5471,1.00,0.65,257.38,8,9
318.9539,84.5471,307.1236,116.0099,1.00,0.53,339.39,9,10
307.1236,116.0099,336.3611,160.3097,138.00,0.83,33.42,10,11
336.3611,160.3097,332.1334,60.2817,2.00,1.57,182.42,11,12
332.1334,60.2817,312.0415,211.7442,8.00,2.40,352.44,12,13
312.0415,211.7442,326.3949,249.6417,1.00,0.64,20.74,13,14
326.3949,249.6417,209.4507,246.2784,4.00,1.84,268.35,14,15
209.4507,246.2784,285.2780,271.1661,117.00,1.25,71.83,15,16
285.2780,271.1661,157.8993,338.1552,6.00,2.26,297.74,16,17
157.8993,338.1552,189.3215,338.5273,162.00,0.49,89.32,17,18
189.3215,338.5273,180.7179,397.8155,1.00,0.94,351.74,18,19
180.7179,397.8155,168.9684,325.5919,1.00,1.15,189.24,19,20
168.9684,325.5919,169.7361,432.4828,6.00,1.68,0.41,20,21
169.7361,432.4828,328.5653,98.0006,25.00,5.80,154.60,21,22
328.5653,98.0006,238.0675,323.7001,21.00,3.82,338.15,22,23
238.0675,323.7001,170.3839,333.2387,1.00,1.07,278.02,23,24
170.3839,333.2387,209.1016,284.8935,158.00,0.97,141.31,24,25
209.1016,284.8935,339.9917,225.5273,6.00,2.26,114.40,25,26
339.9917,225.5273,281.5599,160.9485,2.00,1.37,222.14,26,27
281.5599,160.9485,238.2530,126.1894,1.00,0.87,231.25,27,28
238.2530,126.1894,191.8456,335.1397,274.00,3.36,347.48,28,29
191.8456,335.1397,428.0892,305.0074,19.00,3.74,97.27,29,30
428.0892,305.0074,149.7144,356.5323,17.00,4.44,280.49,30,31
149.7144,356.5323,322.8140,352.3952,7.00,2.72,91.37,31,32
322.8140,352.3952,389.3838,299.2188,2.00,1.34,128.62,32,33
389.3838,299.2188,365.1790,273.1145,149.00,0.56,222.84,33,34
365.1790,273.1145,353.0300,327.1988,1.00,0.87,347.34,34,35
353.0300,327.1988,581.8450,169.4061,20.00,4.36,124.59,35,36
581.8450,169.4061,606.0304,109.2449,1.00,1.02,158.10,36,37
606.0304,109.2449,624.5605,167.4590,1.00,0.96,17.66,37,38
624.5605,167.4590,273.5545,53.3180,87.00,5.79,251.99,38,39
273.5545,53.3180,578.2143,164.0710,16.00,5.08,70.02,39,40
578.2143,164.0710,635.5826,191.2963,1.00,1.00,64.61,40,41
635.5826,191.2963,654.6222,276.4153,186.00,1.37,12.61,41,42
654.6222,276.4153,614.4429,249.4529,1.00,0.76,236.14,42,43
614.4429,249.4529,589.5343,215.2060,1.00,0.67,216.03,43,44
589.5343,215.2060,603.8625,241.3556,160.00,0.47,28.72,44,45
603.8625,241.3556,643.1368,212.9879,1.00,0.76,125.84,45,46
643.1368,212.9879,557.6602,212.2647,129.00,1.34,269.52,46,47
557.6602,212.2647,516.7481,174.7862,1.00,0.87,227.51,47,48
516.7481,174.7862,441.9146,302.2621,7.00,2.32,329.59,48,49
441.9146,302.2621,589.3719,104.9722,27.00,3.87,143.23,49,50
589.3719,104.9722,623.3634,145.6527,1.00,0.83,39.88,50,51
623.3634,145.6527,436.0653,77.6220,16.00,3.13,250.04,51,52
436.0653,77.6220,389.6657,91.5412,1.00,0.76,286.70,52,53
389.6657,91.5412,563.7814,241.7514,15.00,3.61,49.22,53,54
563.7814,241.7514,604.0900,261.5286,1.00,0.71,63.87,54,55
604.0900,261.5286,579.8369,256.2228,124.00,0.39,257.66,55,56
579.8369,256.2228,404.6474,83.4360,25.00,3.86,225.40,56,57
404.6474,83.4360,320.4998,45.2210,2.00,1.45,245.58,57,58
320.4998,45.2210,571.2902,290.1460,96.00,5.50,45.68,58,59
571.2902,290.1460,565.9229,304.8462,1.00,0.25,339.94,59,60
565.9229,304.8462,581.5506,248.8297,1.00,0.91,164.41,60,61
581.5506,248.8297,690.9621,212.6581,132.00,1.81,108.29,61,62
690.9621,212.6581,465.7762,294.5701,11.00,3.76,289.99,62,63
